1,01,REGION I (ILOCOS REGION)
2,02,REGION II (CAGAYAN VALLEY)
3,03,REGION III (CENTRAL LUZON)
4,04,REGION IV-A (CALABARZON)
5,05,REGION V (BICOL REGION)
6,06,REGION VI (WESTERN VISAYAS)
7,07,REGION VII (CENTRAL VISAYAS)
8,08,REGION VIII (EASTERN VISAYAS)
9,09,REGION IX (ZAMBOANGA PENINSULA)
10,10,REGION X (NORTHERN MINDANAO)
11,11,REGION XI (DAVAO REGION)
12,12,REGION XII (SOCCSKSARGEN)
13,13,NATIONAL CAPITAL REGION (NCR)
14,14,CORDILLERA ADMINISTRATIVE REGION (CAR)
15,15,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)
16,16,REGION XIII (Caraga)
17,17,REGION IV-B (MIMAROPA)
18,18,NEGROS ISLAND REGION (NIR)
